timestamp,BAT,TEMP,ALT
2025-05-19T18:48:19.020579,95,28.0,404.1
2025-05-19T18:48:21.025388,90,23.0,419.6
2025-05-19T18:48:23.028127,97,21.8,417.5
2025-05-19T18:48:25.033387,92,21.8,404.2
2025-05-19T18:48:27.034980,90,26.7,400.9
2025-05-19T18:48:29.040508,100,26.7,410.4
2025-05-19T18:48:31.044061,90,29.9,411.4
2025-05-19T18:48:33.047541,95,26.0,411.3
2025-05-19T18:48:35.048974,93,22.0,414.7
2025-05-19T18:48:37.054136,92,22.3,411.5
2025-05-19T18:48:39.059684,98,20.3,402.4
2025-05-19T18:48:41.062385,97,29.7,406.7
2025-05-19T18:48:43.067855,90,22.2,406.1
2025-05-19T18:48:45.071241,94,25.7,427.5
2025-05-19T18:48:47.072060,90,29.2,403.0
2025-05-19T18:48:49.077920,94,29.6,427.8
2025-05-19T18:48:51.080242,94,29.4,409.5
2025-05-19T18:48:53.083950,99,27.6,413.7
2025-05-19T18:48:55.086988,98,21.4,422.5
2025-05-19T18:48:57.092264,95,23.0,401.1
2025-05-19T18:48:59.096433,97,26.1,405.4
2025-05-19T18:49:01.098437,92,21.5,427.7
2025-05-19T18:49:03.103855,92,22.0,417.0
2025-05-19T18:49:05.105211,97,24.6,409.8
2025-05-19T18:49:07.110673,94,28.6,408.9
2025-05-19T18:49:09.112958,97,30.0,407.9
2025-05-19T18:49:11.119523,91,22.0,401.3
2025-05-19T18:49:13.121757,93,26.6,425.3
